sn	UVW2	errUVW2	UVM2	errUVM2	UVW1	errUVW1	U	errU	B	errB	V	errV
SN2016eii	16.433	0.042	16.447	0.058	16.498	0.053	16.525	0.053	16.774	0.045	16.091	0.062	
SN2010ev	13.324	0.039	13.332	0.040	12.906	0.039	12.468	0.041	12.391	0.032	11.944	0.039	
SN2016eja	17.181	0.057	17.295	0.074	17.116	0.075	16.576	0.056	16.718	0.046	16.093	0.060	
SN2010jn	14.207	0.037	14.242	0.037	14.169	0.043	13.891	0.048	13.862	0.038	13.374	0.061	
ASASSN-13ch	16.210	0.050	16.299	0.048	16.231	0.066	16.123	0.088	16.310	0.075	15.957	0.135	
SN2007bm	12.301	0.030	12.372	0.031	11.956	0.030	11.573	0.021	11.346	0.020	10.618	0.011	
SN2012cp	14.895	0.051	14.962	0.056	14.678	0.058	14.486	0.085	14.427	0.065	13.978	0.106	
SN2016gfr	19.136	0.221	19.450	0.268	17.907	0.116	16.865	0.076	16.336	0.041	15.425	0.044	
SN2009gf	16.106	0.067	16.328	0.115	15.424	0.065	13.981	0.034	13.348	0.024	12.400	0.017	
SN2010ih	15.461	0.156	16.028	0.241	14.248	0.076	12.779	0.039	99.000	99.000	11.225	0.019	
SN2018oh	14.767	0.043	14.678	0.040	14.806	0.055	14.994	0.108	15.203	0.095	14.874	0.148	
PS1-14xw	15.016	0.046	14.962	0.039	14.484	0.047	13.803	0.035	13.528	0.026	12.707	0.022	
iPTF13ebh	15.746	0.054	16.034	0.058	14.481	0.038	12.961	0.024	12.290	0.021	11.418	0.013	
SN2012fr	10.216	0.030	10.309	0.030	10.008	0.030	9.312	0.020	8.995	0.020	8.353	0.011	
SN2014J	10.942	0.030	11.201	0.030	10.181	0.030	9.143	0.020	8.771	0.020	7.947	0.010	
SN2010cr	17.636	0.096	17.854	0.124	16.434	0.060	15.375	0.035	15.001	0.030	14.309	0.020	
SN2011aa	14.282	0.039	14.263	0.038	14.351	0.055	14.507	0.132	14.776	0.115	14.418	0.159	
ASASSN-15rq	18.166	0.082	18.131	0.076	18.084	0.104	18.073	0.142	18.244	0.119	17.794	0.182	
SN2015ar	16.003	0.040	16.328	0.042	15.263	0.041	13.941	0.021	13.338	0.022	12.348	0.013	
SN2011ao	13.811	0.032	13.875	0.032	13.766	0.034	13.519	0.035	13.669	0.032	13.463	0.045	
SN2006E	15.196	0.034	15.225	0.042	14.674	0.033	13.846	0.022	99.000	99.000	99.000	99.000	
SN2011de	15.168	0.037	15.205	0.039	14.915	0.038	14.460	0.030	14.281	0.027	13.490	0.026	
ASASSN-15ts	17.209	0.063	17.176	0.060	16.883	0.072	16.238	0.057	15.992	0.034	15.032	0.032	
SN2011at	14.666	0.034	14.761	0.035	14.327	0.035	13.934	0.035	13.773	0.027	13.235	0.026	
ASASSN-15rw	18.786	0.294	18.739	0.238	17.802	0.215	19.293	0.531	18.911	0.713	20.676	0.762	
ASASSN-15ti	18.395	0.080	18.412	0.077	17.984	0.085	17.781	0.100	17.511	0.058	17.136	0.083	
SN2006X	10.384	0.030	10.397	0.030	10.052	0.030	9.484	0.020	9.257	0.020	8.779	0.010	
SN2013gs	14.985	0.034	15.035	0.035	14.894	0.038	14.746	0.030	14.835	0.034	14.342	0.029	
ASASSN-15qc	16.992	0.050	16.949	0.045	16.343	0.049	15.314	0.032	15.107	0.023	14.344	0.021	
SN2011dm	17.575	0.797	16.027	0.223	15.806	0.227	99.000	99.000	99.000	99.000	99.000	99.000	
SN2013gh	15.343	0.052	15.563	0.052	14.529	0.047	13.451	0.036	13.040	0.025	12.055	0.018	
SN2013cs	14.745	0.041	14.977	0.044	14.625	0.051	14.661	0.092	14.513	0.065	14.264	0.122	
SN2008ge	14.469	0.035	14.594	0.037	13.340	0.034	11.934	0.021	11.394	0.021	10.534	0.011	
SN2008ha	13.919	0.031	13.876	0.032	13.999	0.032	13.824	0.028	14.379	0.031	13.877	0.036	
ASASSN-15so	12.779	0.031	12.815	0.031	12.533	0.032	12.050	0.023	11.873	0.022	11.233	0.015	
ASASSN-15sf	99.000	99.000	99.000	99.000	17.671	0.162	17.680	0.241	17.596	0.304	16.374	0.206	
SN2011fs	14.818	0.036	14.970	0.037	14.305	0.035	13.605	0.028	13.214	0.023	12.511	0.017	
SN2008Q	15.125	0.035	15.594	0.046	13.886	0.032	12.374	0.021	11.685	0.020	10.636	0.011	
SN2013fy	14.825	0.033	14.834	0.033	14.694	0.036	14.211	0.032	14.177	0.027	13.392	0.022	
SN2008hs	16.404	0.053	16.821	0.059	15.204	0.041	14.060	0.031	13.339	0.023	12.472	0.014	
SN2013fw	14.150	0.032	14.154	0.032	13.997	0.033	13.271	0.026	13.088	0.023	12.307	0.015	
ASASSN-14lp	12.367	0.030	12.516	0.030	12.016	0.031	11.391	0.021	11.102	0.020	10.339	0.011	
ASASSN-15uw	99.000	99.000	99.000	99.000	18.055	0.095	16.533	0.042	16.148	0.044	15.161	0.030	
SN2011im	14.557	0.034	14.653	0.048	14.189	0.041	13.267	0.027	12.856	0.023	12.177	0.019	
ASASSN-14lw	19.898	0.846	18.899	0.381	18.869	0.502	99.000	99.000	99.000	99.000	99.000	99.000	
SN2016fej	15.039	0.041	15.272	0.055	14.250	0.037	13.082	0.023	12.476	0.021	11.645	0.012	
SN2006dm	17.012	0.065	16.813	0.079	15.487	0.037	14.879	0.033	14.365	0.024	13.478	0.019	
SN2013cg	15.877	0.042	16.039	0.045	14.735	0.033	13.518	0.023	13.022	0.022	12.330	0.014	
SN2016blc	16.235	0.051	16.389	0.058	16.420	0.077	16.508	0.102	16.668	0.108	16.436	0.162	
SN2007S	14.796	0.031	14.811	0.032	14.639	0.031	14.340	0.021	14.369	0.022	13.799	0.016	
SN2011iv	13.775	0.036	14.259	0.054	12.745	0.033	11.472	0.021	10.950	0.020	9.971	0.011	
SN2009ig	14.149	0.036	13.979	0.035	13.819	0.043	12.602	0.029	11.960	0.022	11.406	0.017	
ASASSN-15hf	17.305	0.122	17.441	0.152	16.561	0.112	14.925	0.042	14.521	0.035	13.662	0.020	
SN2010gn	18.529	0.194	18.341	0.185	18.266	0.259	17.459	0.186	17.944	0.194	17.850	0.422	
SN2016F	15.932	0.045	15.980	0.043	15.975	0.065	15.505	0.059	15.910	0.075	15.370	0.080	
ASASSN-15ar	15.952	0.044	16.047	0.045	15.610	0.047	15.208	0.039	15.045	0.035	14.278	0.025	
SN2015I	14.686	0.032	14.677	0.032	14.212	0.033	13.655	0.027	13.591	0.024	12.941	0.018	
SN2007co	15.106	0.038	15.223	0.055	14.587	0.038	14.135	0.031	13.971	0.024	13.491	0.027	
SN2015N	99.000	99.000	18.149	0.088	99.000	99.000	16.151	0.057	99.000	99.000	99.000	99.000	
SN2013E	15.347	0.050	15.468	0.054	14.683	0.043	13.928	0.034	13.627	0.026	12.963	0.023	
SN2012hr	12.154	0.030	12.129	0.030	11.630	0.030	10.893	0.020	10.783	0.020	10.091	0.010	
SN2010Y	17.212	0.115	16.987	0.104	15.796	0.060	14.599	0.032	14.091	0.026	13.314	0.021	
SN2009cz	15.237	0.036	15.169	0.035	14.566	0.035	13.512	0.024	12.963	0.022	12.349	0.014	
SN2016cnx	18.284	0.102	18.955	0.223	17.368	0.085	16.060	0.040	15.563	0.026	14.604	0.021	
SN2013Q	13.983	0.032	14.066	0.033	13.713	0.034	13.133	0.027	12.993	0.023	12.212	0.021	
SN2015F	12.026	0.033	12.274	0.039	11.493	0.033	11.025	0.025	10.858	0.022	10.167	0.014	
SN2012ht	12.852	0.031	12.840	0.031	12.978	0.033	12.938	0.031	13.234	0.031	12.764	0.037	
SN2014ap	16.663	0.039	16.764	0.040	16.235	0.040	15.275	0.027	14.865	0.021	13.960	0.014	
SN2009jr	14.740	0.044	14.771	0.043	14.506	0.053	14.039	0.062	13.785	0.041	13.196	0.049	
SN2016bqs	17.813	0.078	18.166	0.118	16.975	0.069	15.645	0.034	15.200	0.023	14.188	0.017	
SN2007af	12.075	0.030	12.080	0.030	11.985	0.030	11.902	0.021	12.096	0.021	11.603	0.014	
SN2017erp	12.925	0.030	12.996	0.030	12.621	0.031	12.282	0.023	12.334	0.022	11.609	0.015	
SN2016ccz	13.765	0.031	13.778	0.031	13.880	0.032	13.973	0.022	14.494	0.029	14.262	0.022	
SN2016eoa	16.686	0.048	17.144	0.074	15.964	0.047	14.931	0.026	14.272	0.023	13.197	0.015	
SN2011B	13.394	0.097	13.177	0.076	12.011	0.045	10.445	0.024	9.603	0.021	8.901	0.013	
SN2009an	15.433	0.043	15.574	0.045	14.619	0.039	13.623	0.028	13.140	0.023	12.349	0.015	
