sn SN_UVW2 SN_UVM2 SN_UVW1 SN_U SN_B SN_V
ASASSN-15so 15.826514719057661 16.201018826817485 14.523942362421414 13.021033332922876 13.574706364366508 13.677178811141589
SN2015ar 17.21869106642803 17.556675098351448 15.948485006674305 14.501752511975408 15.05998402206108 15.085536873745077
ASASSN-15rq 17.0410441178619 17.185280352695386 15.571060698113591 14.506979878449512 15.258841710912336 15.312919017774876
SN2015F 14.000122568466544 14.482438472036712 12.85744269241016 11.476038181018835 11.954419805631609 12.124135754558615
ASASSN-14lp 13.307508656124245 14.17208912855357 11.85020072256092 10.336410272612213 10.810107921755508 10.863664420243587
iPTF14bdn 17.420328037211796 18.13218627285938 15.858047579786259 14.186580653015213 14.676605276089045 14.730113670536012
iPTF13dge 17.677656835808822 18.429517081574236 16.07218035137219 14.599514130693098 14.957686846384771 15.046284737757386
SN2013gy 17.446529359063856 18.0980489307867 15.986324318862176 14.365485004378577 14.628093894620672 14.738017293710419
SN2013gs 17.672143579166303 18.557061187255098 16.0761301340604 14.607899048549717 14.865515836459457 14.997153388131487
SN2013ex 16.816156648752692 17.230335157035316 15.323623856269725 13.803539822523577 14.3214988704874 14.351742957511757
SN2013cs 15.799536797822274 16.551303199677164 14.269947288484842 12.881162790170038 13.032239036372388 13.158637125182544
SN2013bs 18.477609747740708 18.394542114764988 17.59647042833724 16.07515652445831 16.316890878142928 16.339852808314696
LSQ12gdj 17.906764455487544 18.17070839274512 16.345470191275453 15.0150552603937 15.86847190391923 15.890802784599448
SN2012ht 15.405508097034062 15.66047721725092 13.99165880499096 12.595299192530124 12.825662584869294 12.936896426162468
SN2012hr 16.33268414286534 17.07165402611638 14.793218493081937 13.219957339572822 13.328040230473055 13.448001458649466
SN2012cg 13.79430827983371 14.672572839819294 12.143272165277248 10.636567341297985 11.26421879963177 11.315674400098374
SN2012Z 15.504406677703194 15.259565102490493 14.646290604541957 13.19762451799861 13.694857269409376 13.745985272770875
SN2012V 17.651672169647288 18.316719352841776 16.178774385009312 14.457199296929037 14.858247945607202 14.8570378706767
SN2011ia 17.758361061163832 18.343603698825103 16.17532860383664 14.756078347973666 15.398517610435597 15.375072397197556
SN2011dn 17.36698206342827 17.659010046390517 15.950517171036921 14.582450383789606 15.246588643181287 15.347549837514979
SN2011by 15.062793546376012 15.590781596640884 13.41281292262981 11.940397020948776 12.44469764866829 12.597417666040426
SN2011ao 17.32987144287901 18.250723456702616 15.55197571929782 13.819379056455624 14.16905744308403 14.227108645854218
SN2011aa 15.1090532710623 14.75179583055572 14.20344522320946 13.505625484753603 14.239147384471325 14.364600093750926
SN2011B 15.115268916922533 15.51523292399273 13.670419510603608 12.009657660314833 12.445321481418745 12.53160999965441
SN2010ev 15.740366537099373 15.836122697410806 14.37481965955606 13.016566578619205 13.204008132173062 13.360545954417269
SN2010Y 18.55080424612476 18.802341434910577 16.88541240028348 15.262185129122676 15.515843446130232 15.36230128424182
SN2009ig 15.339743105913275 15.70723356348194 13.62049382449761 12.290832177515775 12.777253715513284 12.885703587955886
SN2009cz 18.39329169683138 19.848731407192055 16.808757235733545 15.10093146398931 15.439519914351164 15.513109810140152
SN2009an 17.186237832547903 18.0695506520694 15.593778976490333 13.985198899683635 14.149524454045528 14.200567104427432
SN2009Y 16.15930533247725 16.83385550237362 14.563429836754162 13.132996287085515 13.423127109668549 13.517408359037576
SN2008hv 17.48791778466286 18.233550188036027 15.869329042632666 14.315650810934091 14.789308087273719 14.860603099206653
SN2008hs 18.80644486231066 19.162570677785492 17.510428281392027 15.890950902709845 16.040006670233655 16.080143014799567
SN2008Q 15.582316737492272 15.78123594810447 14.071168985898705 12.702429273097405 13.298599542531852 13.369016980359675
SN2007on 15.608922445151114 15.695041226412279 14.274208499489555 12.785265113233587 12.925892334691621 12.857110874761359
SN2007cv 17.66202625898748 18.841184190724043 16.095109456209958 14.421065115882493 14.74492194476847 14.802805949189372
SN2007af 15.19518674123262 15.48381014439091 13.683985180060576 12.225414297910122 12.560069283051511 12.676492394789241
SN2006ej 18.15374036651192 18.02049513572563 16.73430057823961 15.228789875337238 15.65302596780248 15.577274474783051
SN2006dm 18.75743825318052 19.048689262516838 16.940554496426127 15.469351394137169 15.789650520409522 15.794614347092105
SN2005ke 13.487386601189641 13.130013791776248 13.204560077820256 12.427602585222132 12.309451621358996 12.377766512364328
