sn,K_UVW2,Kerr_UVW2,K_UVM2,Kerr_UVM2,K_UVW1,Kerr_UVW1,K_U,Kerr_U,K_B,Kerr_B,K_V,Kerr_V
SN2016eii,,,,,,,,,,,,
SN2010ev,,,,,,,,,,,,
SN2016eja,17.20674986278343,1.4047738972067236e-08,17.230560482233674,0.0001189415034019703,17.030988759225732,0.0015643841223429433,16.455300179911404,0.00218481402415982,16.619328176015493,0.00034658448048396906,16.044343063282213,0.016688576126080434
SN2010jn,14.233835073142572,6.861665013957463e-09,14.193270214497133,0.00017474686056750954,14.088037357340568,0.0014228294949756304,13.770111577964007,0.0015591434232682388,13.74479962674643,0.0007747001384021956,13.321089287459914,0.019150181035159974
ASASSN-13ch,16.227730254635517,1.6874047048531793e-08,16.27532118745507,0.0010992678029300151,16.19392767986152,0.0009897130616813854,16.05074642675172,0.0003232559929919887,16.249730892977258,0.00032206066512863174,15.940389896937464,0.008212484859827285
SN2007bm,,,,,,,,,,,,
SN2012cp,,,,,,,,,,,,
SN2016gfr,19.171293824767698,5.1582407678552045e-08,19.25692607292502,0.017420740726004524,17.68560205317127,0.008729377900516866,16.637936048759784,0.001268528829946547,16.15618297486939,0.003480464320951171,15.31081882867749,0.005358598859393382
SN2009gf,16.125841795192194,1.7191542411865157e-08,16.242710048714653,0.005509217706508807,15.293963848694247,0.011946181286512925,13.873339085503572,0.001353373439338057,13.223132440975904,0.0010078659868177908,12.325706055753342,0.008744767455635127
SN2010ih,,,,,,,,,,,,
SN2018oh,14.778867840346333,3.384665347994087e-08,14.65703127425791,0.00411710664976539,14.776598691162102,0.005236978069925513,14.939550354593898,0.004298844779475175,15.167926503792394,0.002701080712682824,14.858672682490761,0.006865854399556781
PS1-14xw,,,,,,,,,,,,
iPTF13ebh,15.76019931482203,5.9281386910470246e-08,15.941772013504334,0.010401731704565265,14.376528027760001,0.0024231476821601206,12.892771592233364,0.0035402998188427404,12.205723377740135,0.002586730404257054,11.363641633218503,0.0005058648033759994
SN2012fr,,,,,,,,,,,,
SN2014J,,,,,,,,,,,,
SN2010cr,17.659150106700775,1.6542792025120434e-08,17.737484961650587,0.011365686916768425,16.284243768070283,0.006698520331680058,15.233996118470444,0.0028796334221130593,14.873798725433469,0.0007817860456675874,14.225593894584248,0.003840341322414176
SN2011aa,14.29674679029301,4.892109828347202e-08,14.24110658113233,0.0009166466000767315,14.315325156539208,0.0014225450685003693,14.441229144065213,0.002059743896319688,14.724474673459515,0.0027277630363702343,14.399057947488998,0.01089098381718756
ASASSN-15rq,18.1907633452866,2.927329134649881e-08,18.093427014647187,0.002330071374251119,18.022661740541448,0.0011198145838235973,17.974054902174963,0.005605026995718632,18.143304913657726,0.00023918718659032834,17.804169187366043,0.08931502783331524
SN2015ar,16.021307676555686,2.9524461098162647e-08,16.23153253660543,0.01471989311781563,15.130018989985588,0.0035236567616525605,13.847685152374444,0.0023842802893128123,13.22159852491547,0.0016400548167538886,12.275568772069887,0.0017116076416598958
SN2011ao,13.822549190585995,1.833740270740236e-08,13.856414446380171,0.0005915432957959155,13.736201161692987,1.5868638332250384e-05,13.465092999759252,0.0005675870151513607,13.630220486201136,0.0009892882189710406,13.455064669777174,0.012919011841669104
SN2006E,15.198915479796684,3.0248124005538557e-09,15.2140114520798,0.0007408776204851364,14.659069172187461,0.0005425316208604869,13.82739082868618,0.00015503272652317435,98.98692223393532,0.00037609621324996567,98.9911276592282,0.0005319926400968455
SN2011de,,,,,,,,,,,,
ASASSN-15ts,17.272242004692746,1.172383505831931e-07,16.73771905652472,0.0594318826263045,16.41879254994925,0.014733408305900753,15.835162459241491,0.004520470577048741,15.587657788030619,0.006345589516985939,14.79700418446209,0.001754386180087053
SN2011at,,,,,,,,,,,,
ASASSN-15rw,18.806264916323087,2.4575207646648778e-08,18.699545734079052,0.00013793900167868856,17.74748118371384,0.0007707459539041395,19.199004301399924,0.000366088887462368,18.849536765752863,0.000820836099515887,20.642348166817246,0.004435275613996481
ASASSN-15ti,18.413643884854,3.890414745910675e-08,18.38005549191838,0.004945612713564529,17.93125230997824,0.004045815715061352,17.69216089371516,0.00027205984101996705,17.450008262415654,0.0002688842617981635,17.10281454845829,0.006307553928994736
SN2006X,10.389671159763417,2.404618726359331e-09,10.384087589910932,0.0009672657611723423,10.032912648124757,0.0005853578735166565,9.454054367634326,0.0002745515266617815,9.23500992209613,0.0006176365523629102,8.762159468497966,0.001553924614112745
SN2013gs,15.003117316980997,3.778145085675533e-08,15.003877663846126,0.00011893296613685322,14.838310482824477,0.0011269174006152127,14.663016891130384,0.00018937029353160995,14.76117402662739,0.0013361647757559325,14.296665811501443,0.006784153293544648
ASASSN-15qc,17.010198447838118,2.2753133777086987e-07,16.87034017029708,0.004238024814707586,16.232447559967945,0.002677439947582627,15.209027818083907,0.0006087141267894225,15.018333606046845,0.0019150673594729994,14.287736700766855,0.002392605977577844
SN2011dm,,,,,,,,,,,,
SN2013gh,,,,,,,,,,,,
SN2013cs,,,,,,,,,,,,
SN2008ge,14.473380761116209,2.2213367145695884e-08,14.563508454679765,0.0016980385893106131,13.30765070994833,0.0006335311808634003,11.912192528267388,0.0006531338472886006,11.369195968140462,0.0007927388695296855,10.517379299409937,0.0001943465983575976
SN2008ha,,,,,,,,,,,,
ASASSN-15so,12.78659739069126,4.0933407774446096e-09,12.794988667817995,0.0006235548508009003,12.498362005106047,0.0012788730093848955,12.007182051446424,0.0018622694568115605,11.837287048342821,0.000279720929237115,11.209408814657497,0.003151064431570205
ASASSN-15sf,99.02892604042442,4.230172834240875e-08,98.95364534824795,0.0019008525199755155,17.58838707677519,0.011936496535527752,17.538530065897575,0.01202542737553891,17.489738171541354,0.010382653179004109,16.303644597114598,0.010193729390287842
SN2011fs,14.840671671735011,9.476888607196088e-08,14.867554481347534,0.013322669719281421,14.169556954708113,0.007815192861713172,13.468191327644124,0.0033879942587731193,13.100420791495848,0.004357239620526698,12.441187152929526,0.009038925464972536
SN2008Q,,,,,,,,,,,,
SN2013fy,14.8580075728775,5.37079429818732e-08,14.773330563433099,0.0034281115512708737,14.574184274277743,0.005573754054001512,14.064268287033785,0.0021916771816297143,14.008510718453639,0.0020794422862007167,13.336623684494601,0.03653927786669087
SN2008hs,16.42236851377788,2.552923561438547e-08,16.669212300216316,0.00848639740305046,15.063194079983251,0.0011476841904443091,13.96403262263499,0.00013959971670907123,13.226214748018,0.001572723944157417,12.401859055057342,0.0011394698997850838
SN2013fw,14.168246853120325,1.1074710926095577e-08,14.087152004491777,0.017405754178867028,13.9109746115661,0.010798063510032208,13.174514298503922,0.001002775283208024,12.992654096941303,0.00041061548111542834,12.255722647597777,0.009407302283838348
ASASSN-14lp,12.372465926998746,9.3898933073433e-10,12.501183292350644,0.0001826693125028811,11.989877387183851,0.0009829788899970993,11.362774853860115,0.002080836643640893,11.069226693439013,0.00022334924165079428,10.3206769795036,0.004122589711217373
ASASSN-15uw,99.03294755973656,4.179718615660022e-08,98.79589676834793,0.018319035826039,17.81736574790869,0.006343734409169244,16.332516410882334,0.0029752115020880154,15.941270360427051,0.003938283656733432,15.036007587807687,0.005256515377421778
SN2011im,14.574409792760362,5.937089042618027e-09,14.598843531863169,0.002040870807473283,14.11116092254337,0.0011165417525340615,13.172175310318785,0.001898365532372992,12.767569477504905,0.0010600675788161595,12.129190544702674,0.013516050959699655
ASASSN-14lw,,,,,,,,,,,,
SN2016fej,15.050785490577466,3.741258680634019e-08,15.189152673991986,0.009079265608320952,14.162033557656688,0.001291046053436773,13.022662205685997,0.0001258836380557682,12.405999093029367,0.0009207308377590095,11.599706414379291,0.0007020662762826646
SN2006dm,17.035647419383388,1.5771384198615124e-09,16.73848706842861,0.005202055958937635,15.346762658718957,0.00606520886217865,14.743611035376654,0.0021037749894254887,14.207651574326961,0.0011478748085060886,13.385417352121022,0.011527376117937749
SN2013cg,,,,,,,,,,,,
SN2016blc,,,,,,,,,,,,
SN2007S,14.810024066740567,1.5631588468068003e-08,14.78088205160197,0.00041452962914689806,14.593322422602299,0.00018407526161112742,14.271277566295577,0.005682919931519592,14.311809029114048,0.002473242082418281,13.768757560370382,0.016285972756216793
SN2011iv,13.780288058614277,2.2917795661214768e-08,14.224398877956276,0.004276275020583142,12.705562465103663,0.0006241360404057872,11.446301672510652,0.0004280942448460223,10.918255893659719,0.0007895917566305144,9.949888129744174,0.0006988584042453283
SN2009ig,,,,,,,,,,,,
ASASSN-15hf,17.311445284940767,2.4691507505281152e-08,17.401390337021322,0.0034303256814922634,16.516515743414594,0.0014050075955669428,14.890305337178063,0.0002896924999191697,14.486248534343119,0.0011363699644046932,13.638103696400234,0.0006910839864371354
SN2010gn,18.56201809193401,8.656570926746099e-08,18.251645534454433,0.02449500428678597,18.131728925330982,0.02491538626695089,17.27892488449923,0.018752122157945195,17.807730051805844,0.0009530012870690996,17.773551588828763,0.01423191019265424
SN2016F,,,,,,,,,,,,
ASASSN-15ar,15.982809423364928,2.83857133354104e-08,15.954201212713969,0.022820973954850388,15.475997807004422,0.018012274331121958,15.039087320591628,0.007782676386655751,14.90082110809947,0.0009447329685983163,14.19047352264331,0.009794214315787642
SN2015I,,,,,,,,,,,,
SN2007co,15.134926071558274,2.9334941586967034e-08,15.161088042573597,0.017167184031483984,14.484812373316558,0.01657641161266632,13.991931553025337,0.012706357896474785,13.846928289487263,0.004431908857922551,13.435019203049382,0.023719469396814574
SN2015N,99.01999424269991,1.756123424456746e-08,18.069494791692044,0.015841044734406395,98.88449373959097,0.01802277773740535,16.037117551185975,0.006277307161251855,98.8855021309983,0.0018350905551152152,98.92918927509668,0.009242878036870295
SN2013E,15.357172225817882,1.3074512139610306e-08,15.430841147134714,2.9108105454866973e-06,14.634780737229239,0.0005643566071498185,13.86939564126681,0.004769827195715948,13.579411521009925,0.000593220525287208,12.93834938134905,0.014838234856586752
SN2012hr,12.162179442894317,9.193588113021178e-09,12.103078891634086,0.0011079518035970182,11.591361440175424,0.0003132337952855835,10.849146903543964,0.002327491732415865,10.740745138957626,0.0001753089358462745,10.067726272837058,0.004723712463034602
SN2010Y,17.223640739734403,1.6190835339102705e-08,16.915283727871724,0.005247655063607581,15.713690288480535,0.002026394327277359,14.536940758903558,0.001508706164614182,14.023491353558382,0.0011081448262633131,13.26951738175547,0.001362468186332677
SN2009cz,15.259736021605333,3.92487109479589e-09,15.051496084938176,1.1635261710551958e-05,14.440571154531456,0.0009769389851541632,13.368567909359573,0.0014115773861611558,12.848854063645662,0.001231029113478499,12.301578648082657,0.01662555440720226
SN2016cnx,,,,,,,,,,,,
SN2013Q,14.001496579210357,6.751395886794853e-09,14.017850714367475,0.0017423092400328244,13.635680651682415,0.0030182495988473335,13.04406761338878,0.003138277354686636,12.893561774227498,0.0016373530146616133,12.16210214957663,0.016815199234139655
SN2015F,12.031296309558957,1.7703527532830776e-09,12.233441364157494,0.0024671881051485656,11.455858948900746,0.0006748752656573487,10.987150468382628,0.0022467501150682523,10.828405064807868,0.000980214446828498,10.145969696337142,0.0017893643500137557
SN2012ht,,,,,,,,,,,,
SN2014ap,16.688055809805338,3.7927744500620975e-08,16.63630368080586,0.026666453130944845,16.068927255436016,0.011482472655369946,15.130962896728525,0.00255648327970448,14.716608752020418,0.001303094534032212,13.868179261058014,0.003969133398696201
SN2009jr,14.757819698757386,1.75895493725875e-08,14.737110738807814,0.0002959613615036716,14.447662083866916,0.0011598834577828399,13.950650435119021,0.004603658602743366,13.712661791718144,0.0014634098048507127,13.163418196302421,0.025864796115344646
SN2016bqs,17.85108795484253,1.6315868478500306e-07,17.900756212475965,0.03034876521699381,16.687786511117455,0.00578792711184839,15.43112998746508,0.0018508606237812586,14.955208729375613,0.0016190747994144772,14.043477066309817,0.00040153632136430417
SN2007af,12.08098064010144,1.4728133379549035e-08,12.067026806360838,0.0005182559491156979,11.963198984356701,0.0006421013336606052,11.869565698283727,0.0008490709415891473,12.071846955328773,0.0004286400050972361,11.587313026814838,0.0015251330212358027
SN2017erp,12.931682725224565,1.3938183940354065e-09,12.977370214328575,0.0001399472536558477,12.592522311788306,0.0006050566429784965,12.245475799423918,0.0026089203810180095,12.299476872526547,0.0008990142609555107,11.587572616747623,0.003767909644192713
SN2016ccz,,,,,,,,,,,,
SN2016eoa,16.708047395383836,1.519214620770981e-08,17.023150181579748,0.029652639103275646,15.808767721755013,0.011325065767305631,14.804383397611458,0.002981600434385001,14.133923120885695,0.003998646341230483,13.108994887977307,0.0025259477889107984
SN2011B,13.399058575203542,9.136499556916533e-09,13.142027487206665,0.004052754587597462,11.973496608605178,0.0006769612177492945,10.420749444086663,6.248243760254013e-05,9.573694003003899,0.000704596025068227,8.88108915735738,0.00016046733324870388
SN2009an,15.442973219318603,1.471245170137081e-08,15.531841381480652,0.001802459167622672,14.558219601835045,0.0023820010000932257,13.56667731400992,0.002894394840728509,13.083880215156945,0.0015197788200413953,12.313327386711105,0.008226583553723188
SN2005df,10.7307127057534,5.0607340540409496e-09,10.690915287676576,0.00047500151094759246,10.582038850142274,0.00010549796729009131,10.354101322803944,0.0003912533392913531,10.59083562440988,0.0020199638741456027,10.135523664687684,0.003579733088209025
LSQ13ry,17.45193021869474,1.9085916491690114e-07,17.37126547994839,0.0012615764249499506,17.2052391918489,0.0018468007364216277,16.869885366282613,0.0014431338929430382,17.060766430083728,0.00036820476347010356,16.51130538449797,0.008129053497459182
SN2016coj,13.459629451008263,1.5933991903693823e-08,14.030194730491614,0.0022928707955891525,12.438407682812997,0.00028069213989034836,11.012257963984565,8.370071312846505e-05,10.27212138735442,0.00033481756699949017,9.486437704235202,0.00015120751365493845
SN2016eiy,,,,,,,,,,,,
SN2014I,17.63110762397414,1.5497517225071533e-07,17.326166351390476,0.014889912736702371,16.152271874482697,0.003014882840354005,14.85357461390881,0.0013442125232199231,14.377486901736226,0.003791293515888583,13.554150746704497,0.0008760434655741278
SN2005am,,,,,,,,,,,,
ASASSN-15od,,,,,,,,,,,,
