sn,K_UVW2,Kerr_UVW2,K_UVM2,Kerr_UVM2,K_UVW1,Kerr_UVW1,K_U,Kerr_U,K_B,Kerr_B,K_V,Kerr_V
SN2016eii,,,,,,,,,,,,
SN2010ev,,,,,,,,,,,,
SN2016eja,17.15525010840047,0.1252149075543798,17.269250108400477,0.12642057456073985,17.09025010840047,0.14071409462594886,16.55025010840047,0.09769309795514758,16.69225010840047,0.10894012285157118,16.06725010840047,0.06774684198001424
SN2010jn,14.180164914702175,0.10806816956991838,14.215164914702175,0.09940695846434267,14.142164914702175,0.10814299959590912,13.864164914702174,0.06149735186422234,13.835164914702174,0.10407517418361323,13.347164914702175,0.055441640729746666
ASASSN-13ch,16.1922697175714,0.11963312172089502,16.281269717571398,0.10505146362309858,16.2132697175714,0.09800815846865163,16.1052697175714,0.08096076127423757,16.292269717571404,0.06851498589620775,15.939269717571399,0.055214712430679214
SN2007bm,,,,,,,,,,,,
SN2012cp,,,,,,,,,,,,
SN2016gfr,19.100706103944407,0.3847623416663737,19.4147061039444,0.2506807793280217,17.8717061039444,0.2934622940811593,16.8297061039444,0.07122187410433867,16.3007061039444,0.06899518148012618,15.389706103944402,0.040484717454098984
SN2009gf,16.08615818121082,0.5302559299116183,16.308158181210825,0.39647105485901335,15.404158181210818,0.4639162868412434,13.961158181210818,0.12938141378550938,13.328158181210819,0.09897701134612191,12.380158181210826,0.0729750054490097
SN2010ih,,,,,,,,,,,,
SN2018oh,14.755132120031465,0.3924767586315667,14.666132120031474,0.3628393388948048,14.794132120031465,0.2961016146954947,14.982132120031466,0.14224499440382132,15.191132120031465,0.33601421928383957,14.862132120031466,0.08026783825814476
PS1-14xw,,,,,,,,,,,,
iPTF13ebh,15.731800625172317,0.5393224390117553,16.019800625172316,0.27797954719781615,14.466800625172317,0.1969149573009119,12.946800625172317,0.11568861719445778,12.275800625172316,0.06601296652478794,11.403800625172316,0.06156245573081165
SN2012fr,,,,,,,,,,,,
SN2014J,,,,,,,,,,,,
SN2010cr,17.61284986683805,0.4116556473565538,17.83084986683805,0.23622562631106803,16.410849866838053,0.2701701560985299,15.351849866838052,0.08276280813320724,14.977849866838044,0.05477771742840076,14.285849866838051,0.04084822007869349
SN2011aa,14.267253160659958,0.1412009913291392,14.248253160659951,0.13561110226736872,14.336253160659952,0.12800733799670638,14.492253160659951,0.08522589916882595,14.761253160659958,0.06348186785146837,14.40325316065995,0.05965088363432258
ASASSN-15rq,18.141236625461335,0.11299238759797703,18.106236625461335,0.11102395030790291,18.059236625461335,0.14703104884368656,18.048236625461335,0.14452889918002043,18.219236625461335,0.1509064550087338,17.769236625461335,0.10853983442356707
SN2015ar,15.984692279770151,0.406250179494954,16.309692279770143,0.27180077004166847,15.24469227977015,0.18651891669075127,13.922692279770152,0.10183002118122175,13.31969227977015,0.06798986164084297,12.329692279770152,0.061000774743341424
SN2011ao,13.799450781218077,0.0909908911378352,13.863450781218084,0.08343598019789411,13.754450781218077,0.10195326862660892,13.507450781218077,0.07351478809571788,13.657450781218078,0.16753009932238427,13.451450781218076,0.05886651252167496
SN2006E,15.19308451550056,0.20645702802079313,15.222084515500574,0.18732824101062917,14.671084515500567,0.1321022135306933,13.843084515500575,0.07644406337750809,98.99708451550057,0.06211361409961569,98.99708451550056,0.04397469937160636
SN2011de,,,,,,,,,,,,
ASASSN-15ts,17.145757871219562,0.7057085079305736,17.112757871219568,0.31647952112806976,16.81975787121957,0.20023688483260216,16.17475787121957,0.11574957390981666,15.92875787121957,0.05678780674555384,14.96875787121957,0.041225190996975414
SN2011at,,,,,,,,,,,,
ASASSN-15rw,18.765735032066843,0.11675865255835305,18.718735032066842,0.11440227242272627,17.78173503206684,0.11793225260012008,19.27273503206684,0.09422992569535182,18.89073503206685,0.08799449099478096,20.655735032066847,0.06286880871553535
ASASSN-15ti,18.3763560435176,0.20330448952373104,18.3933560435176,0.20152587196885463,17.96535604351761,0.13363047702734576,17.7623560435176,0.08969190363747259,17.4923560435176,0.0746537358473951,17.1173560435176,0.06107579266015506
SN2006X,10.378328836509588,0.24413587346519705,10.391328836509581,0.22729642313576193,10.046328836509588,0.27888471121187663,9.478328836509588,0.20802418637824616,9.25132883650958,0.18063063518362554,8.773328836509588,0.135735063539137
SN2013gs,14.966882635646193,0.18386756515834435,15.016882635646194,0.1731215457835802,14.875882635646194,0.18640793790263643,14.727882635646194,0.14174468403802365,14.816882635646195,0.10471917580814605,14.323882635646195,0.07556606832545043
ASASSN-15qc,16.973801413874096,0.2187053846939584,16.93080141387411,0.17116864303738666,16.324801413874102,0.12819137523744217,15.295801413874102,0.09013083048046155,15.088801413874108,0.06296773305077252,14.325801413874109,0.05437200314984736
SN2011dm,,,,,,,,,,,,
SN2013gh,,,,,,,,,,,,
SN2013cs,,,,,,,,,,,,
SN2008ge,14.464619218319056,0.4297610878449518,14.589619218319063,0.25282186922091654,13.335619218319064,0.22621358223566546,11.929619218319063,0.12915303405097944,11.389619218319064,0.07794927714478206,10.529619218319064,0.052125954288179344
SN2008ha,,,,,,,,,,,,
ASASSN-15so,12.77140260371964,0.1802573349015404,12.80740260371964,0.12646292452281216,12.52540260371964,0.13974443288410754,12.042402603719648,0.08251192594860868,11.865402603719646,0.06631217862866734,11.22540260371964,0.05482227669554618
ASASSN-15sf,98.97107389100681,0.47564088424434914,98.9710738910068,0.45386282135506306,17.64207389100681,0.4702434998034377,17.65107389100681,0.3026814416863921,17.567073891006796,0.20184450011884536,16.34507389100681,0.11672712474374691
SN2011fs,14.795328246219414,0.4294412379458521,14.947328246219415,0.4048077874805962,14.282328246219414,0.2883711664818236,13.582328246219415,0.1446578084767971,13.191328246219415,0.13773544876582378,12.488328246219414,0.08988546427094235
SN2008Q,,,,,,,,,,,,
SN2013fy,14.791992353623737,0.19931270803298062,14.80099235362373,0.17043033173713695,14.660992353623739,0.18285050438863237,14.177992353623738,0.09853887721036259,14.143992353623737,0.11443438563428998,13.35899235362373,0.07085905239887325
SN2008hs,16.3856314293029,0.3848302889059063,16.802631429302895,0.2306622309216877,15.185631429302894,0.167642815055995,14.041631429302901,0.12314935955479456,13.320631429302894,0.09718008682659018,12.453631429302893,0.07571286367394237
SN2013fw,14.131753133647978,0.59179405368047,14.135753133647977,0.47865294404634184,13.978753133647977,0.29742180947041064,13.252753133647985,0.14091845306651152,13.069753133647977,0.08371761198710814,12.288753133647985,0.06688014995061309
ASASSN-14lp,12.361534071072978,0.17061918799137032,12.510534071072977,0.17162605860769986,12.010534071072984,0.16919455769115643,11.385534071072977,0.08612459588622556,11.096534071072984,0.08903170591482379,10.333534071072977,0.0658223777069189
ASASSN-15uw,98.96705238912266,0.4454881251556806,98.96705238912264,0.23322552601431923,18.02205238912265,0.38821330221913186,16.50005238912265,0.08864791118371329,16.115052389122656,0.06741653474101028,15.128052389122649,0.04002729035326169
SN2011im,14.53959019915632,0.12544065474160604,14.63559019915632,0.12466254365999418,14.17159019915632,0.09062220271239596,13.24959019915632,0.07640619642523205,12.83859019915632,0.08577082790258928,12.159590199156327,0.06887962980398044
ASASSN-14lw,,,,,,,,,,,,
SN2016fej,15.027214472333275,0.6166194878321996,15.260214472333283,0.2779655471579794,14.238214472333283,0.18905270712766864,13.070214472333284,0.14025828189494405,12.464214472333284,0.11229173658060887,11.633214472333275,0.08391601511895885
SN2006dm,16.98835257577123,0.25846776027524143,16.78935257577123,0.22846037719349965,15.463352575771237,0.22843036612856338,14.85535257577123,0.08436784930803043,14.34135257577123,0.08145919049188066,13.454352575771237,0.06562840329805653
SN2013cg,,,,,,,,,,,,
SN2016blc,,,,,,,,,,,,
SN2007S,14.781975920561855,0.15485379901659257,14.796975920561863,0.10754431728596359,14.624975920561855,0.129360604554563,14.325975920561856,0.11118678896752243,14.354975920561863,0.18688293302011516,13.784975920561855,0.0915966876089449
SN2011iv,13.769711920440594,0.5013758304326394,14.253711920440601,0.24064665470519842,12.739711920440593,0.20049854859161087,11.466711920440593,0.12536613629680815,10.944711920440593,0.09786015917185154,9.965711920440594,0.0628608475038277
SN2009ig,,,,,,,,,,,,
ASASSN-15hf,17.29855469532479,0.4818936999138579,17.434554695324795,0.23803436451201065,16.554554695324804,0.2475556164542141,14.91855469532479,0.14650991296324634,14.51455469532479,0.10439323809120893,13.65555469532479,0.07692224284456728
SN2010gn,18.495981821422344,0.6473402450818178,18.307981821422338,0.5669782619786758,18.232981821422335,0.47898474965699833,17.42598182142235,0.18990736980959255,17.910981821422336,0.09243460942366966,17.816981821422345,0.07103784607543417
SN2016F,,,,,,,,,,,,
ASASSN-15ar,15.921190552017736,0.49690463506176386,16.01619055201773,0.46703116206808204,15.579190552017735,0.3215552039324585,15.177190552017736,0.13938089305926127,15.014190552017729,0.07198912026140647,14.247190552017736,0.05980570736233659
SN2015I,,,,,,,,,,,,
SN2007co,15.077073891006796,0.5882819486179329,15.194073891006797,0.5925768630230266,14.558073891006803,0.45424572450555445,14.106073891006803,0.2588652430580751,13.942073891006803,0.2222551523528793,13.462073891006803,0.11711463862397409
SN2015N,98.98000574324598,0.8544786873433701,18.12900574324599,0.5664568905353065,98.98000574324598,0.5747610903421716,16.131005743245982,0.11374429396373742,98.98000574324598,0.14721529023451296,98.98000574324598,0.05912311585532137
SN2013E,15.33682776596663,0.1878560698216809,15.457827765966638,0.1818897798998087,14.67282776596663,0.20864523350412156,13.917827765966639,0.1587612397946252,13.616827765966624,0.15143864830334053,12.95282776596663,0.126144014811846
SN2012hr,12.145820550487198,0.24520576060499266,12.120820550487197,0.1779929754202101,11.621820550487199,0.15906149572165873,10.884820550487206,0.14963503661757827,10.774820550487197,0.16410948884728072,10.082820550487197,0.14110413291663093
SN2010Y,17.200359226904713,0.35235185129025837,16.975359226904704,0.22845866172118434,15.784359226904698,0.18730314191413555,14.587359226904706,0.0770577249491815,14.079359226904705,0.06344835341483446,13.302359226904706,0.049513512868262666
SN2009cz,15.21426397166587,0.09940790843268843,15.14626397166587,0.08756995846489346,14.543263971665878,0.10021847977623821,13.489263971665864,0.06407438756174955,12.940263971665862,0.06791302300626967,12.326263971665863,0.06322409135863438
SN2016cnx,,,,,,,,,,,,
SN2013Q,13.96450340892022,0.24323945255775925,14.04750340892022,0.22363897352526152,13.694503408920218,0.20641959270077237,13.114503408920218,0.16605986618577617,12.974503408920226,0.12003964794592648,12.193503408920225,0.08414880370148481
SN2015F,12.020703688911244,0.30761505482064777,12.268703688911243,0.3993506230832722,11.487703688911237,0.24902479298949132,11.019703688911237,0.1663944312619563,10.852703688911244,0.15661719365688143,10.161703688911244,0.11103652955825183
SN2012ht,,,,,,,,,,,,
SN2014ap,16.637944151667117,0.6422404423299568,16.738944151667123,0.388639271893787,16.20994415166711,0.3668932777591962,15.249944151667117,0.08247343307631638,14.839944151667117,0.05532227964113545,13.934944151667118,0.05686396992760834
SN2009jr,14.722180274382458,0.13683316027347558,14.753180274382466,0.1497362309711896,14.488180274382465,0.14186698391700148,14.021180274382465,0.09749896497432431,13.767180274382465,0.13673105725209922,13.178180274382457,0.09389215196914691
SN2016bqs,17.774911914453323,0.5194530313783403,18.127911914453332,0.26627985458409853,16.936911914453333,0.31469138543599584,15.606911914453324,0.07494630351144593,15.16191191445333,0.06338385754559894,14.149911914453332,0.06799799556995012
SN2007af,12.069019345946995,0.14162512382471704,12.074019345946995,0.11265324671024146,11.979019345946995,0.11288821231891788,11.89601934594698,0.05634156513324484,12.090019345946988,0.06575307828348187,11.597019345946995,0.049993158573190755
SN2017erp,12.918317273087244,0.12947044982881906,12.989317273087243,0.1224686561366255,12.614317273087243,0.1331463984706076,12.275317273087243,0.08237659863392466,12.32731727308725,0.06755499655671571,11.602317273087243,0.04952806669978571
SN2016ccz,,,,,,,,,,,,
SN2016eoa,16.66395258251176,0.8381241378192215,17.12195258251176,0.478301384303613,15.941952582511762,0.5024245510307495,14.90895258251176,0.1292748832448467,14.249952582511769,0.099395865127903,13.17495258251176,0.060087419981272205
SN2011B,13.388941414548691,0.48764455118785577,13.171941414548705,0.2880571939505785,12.00594141454869,0.19644973059034854,10.439941414548706,0.11442699390710942,9.597941414548698,0.08984511348058177,8.895941414548698,0.06477697546479888
SN2009an,15.423026772326303,0.2279990611237004,15.564026772326288,0.14551244806401087,14.609026772326295,0.2424464907722097,13.613026772326302,0.10002042727821703,13.13002677232629,0.08029108734448087,12.339026772326296,0.05002334207151904
SN2005df,10.721287290237798,0.2351686083297011,10.694287290237797,0.18180814203118345,10.589287290237797,0.17416116291918726,10.372287290237798,0.16243132344728295,10.602287290237797,0.17894335544387374,10.139287290237805,0.15985503825165992
LSQ13ry,17.38806962111478,0.12516816969453615,17.39906962111478,0.09985299211282239,17.274069621114787,0.14558099753615394,16.97906962111478,0.08926583245375141,17.15506962111478,0.0735197508573684,16.555069621114786,0.05363730368447506
SN2016coj,13.450370533024335,0.43838233405428895,14.061370533024329,0.1679424313465283,12.469370533024335,0.12297177169098816,11.029370533024329,0.07697465469758669,10.295370533024336,0.05407913603403003,9.500370533024329,0.03679871487398145
SN2016eiy,,,,,,,,,,,,
SN2014I,17.56689218075788,0.4018863396879553,17.498892180757878,0.18168008242703593,16.357892180757887,0.20855577080399712,14.994892180757871,0.09559405998958326,14.54389218075788,0.05352516168611032,13.639892180757887,0.0359394746928281
SN2005am,,,,,,,,,,,,
ASASSN-15od,,,,,,,,,,,,
SN2011M,16.046239719345497,0.6534712870659902,16.451239719345494,0.6676209986971884,15.445239719345496,0.4902021307966109,14.497239719345503,0.25448092799857847,14.209239719345502,0.18996653646486905,13.211239719345503,0.10989018449224375
SN2016daj,,,,,,,,,,,,
ASASSN-14ar,14.422408371020243,0.585271287237525,14.48240837102025,0.47824150205122606,14.33840837102025,0.4246571307556053,13.98640837102025,0.17096164333474917,13.639408371020243,0.08579046176518546,12.963408371020243,0.0697205049436107
SN2013hn,,,,,,,,,,,,
SN2007sr,,,,,,,,,,,,
